zeolite_code,count
ABW,9
ACO,22
AEI,770
AEL,632
AEN,59
AET,42
AFG,16
AFI,901
AFN,511
AFO,162
AFR,971
AFS,1102
AFT,41
AFV,663
AFX,987
AFY,1031
AHT,96
ANA,55
APC,30
APD,26
AST,287
ASV,214
ATN,54
ATO,110
ATS,430
ATT,85
ATV,2
AVE,356
AVL,742
AWO,91
AWW,434
BCT,1
BEA,963
BEC,1117
BOF,5
BOG,1083
BOZ,973
BPH,1114
BRE,1
BSV,140
CAN,1
CAS,2
CDO,173
CFI,406
CGF,187
CGS,553
CHA,788
CLO,10
CON,993
CSV,931
CTH,1058
CZP,116
DDR,111
DFO,1084
DFT,34
DOH,86
DON,2
EAB,713
EDI,53
EEI,429
EMT,1094
EON,867
ERI,751
ESV,368
ETL,250
ETR,1113
ETV,14
EUO,971
EWS,842
EZT,743
FAR,12
FAU,855
FER,252
GIS,125
GIU,23
GME,946
GON,202
HEU,4
IFO,689
IFR,763
IFT,1
IFU,1
IFW,885
IFY,41
IHW,900
IMF,264
IRN,983
IRR,1139
IRY,1
ISV,1122
ITE,825
ITG,1105
ITH,895
ITN,3
ITQ-43,3
ITR,910
ITT,1148
ITV,6
ITW,151
IWR,1109
IWS,620
IWV,4
IWW,1086
JBW,1
JNT,3
JOZ,1
JRY,123
JSN,1
JSR,42
JST,403
JSW,248
KFI,970
LAU,339
LEV,429
LIO,22
LOS,168
LTA,992
LTF,34
LTL,1057
MAR,16
MAZ,885
MEI,1059
MEL,889
MER,251
MFI,960
MFS,645
MOR,283
MOZ,1063
MRE,352
MRT,263
MSE,1087
MSO,41
MTF,377
MTN,37
MTT,169
MTW,977
MVY,1
MWF,1
MWW,1035
NAT,39
NES,5
NON,462
NPT,41
NSI,3
OBW,41
OFF,634
OKO,41
OSI,3
OSO,24
OWE,206
PAU,1
PCR,4
PCS,41
PHI,171
PON,177
POR,6
POS,1046
PTY,5
PUN,454
PWN,291
PWO,454
PWW,698
RHO,886
RRO,190
RSN,1
RTE,429
RTH,834
RUT,183
RWY,1
SAF,948
SAO,1097
SAS,851
SAT,702
SAV,916
SBE,1037
SBN,45
SBS,41
SBT,81
SEW,1046
SFE,346
SFF,839
SFG,1098
SFH,705
SFN,695
SFO,955
SFS,1154
SFV,3
SFW,1018
SGT,623
SIV,158
SOD,79
SOF,546
SOR,952
SOS,240
SOV,1043
SSF,1153
SSY,459
STF,759
STI,849
STO,115
STT,849
STW,851
SVR,1
SVV,295
SVY,13
SWY,1101
SZR,578
TER,198
THO,66
TOL,153
TON,187
TSC,45
TUN,590
UEI,27
UFI,64
UOE,170
UOS,16
UOV,587
UOZ,10
USI,978
UTL,1041
UWY,1
VET,50
VFI,1070
VNI,11
VSV,1
YFI,1
ZON,178
